feed_id,lounge_id,lounge_name,board_id,board_name,title,title_folder,author,author_level,created_at,updated_at,view_count,comment_count,buff_count,nerf_count,is_pinned,content_type,content_text,image_urls,links,url
8105511,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] ZL100 - Thank you for playing,[웹툰] ZL100 - Thank you for playing,GM 이수연,15,2026-08-26T15:00:35+09:00,2026-08-26T15:00:35+09:00,570,9,12,0,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA4MjVfMjcg/MDAxNzg3NjQ5Njc0Njkw.yw7w0eYvWcR6YZemBzJM8ucFDRC3mB9k3Bifg1SwEmUg.edrdp6SyzJC5JA6KFvvLcm_PrPiJXox1ONk-aHjwCt0g.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA4MjVfMjM1/MDAxNzg3NjQ5NjY1NTc2.ko6bGEeXVhLwtFUmRtN9OmtZLSb5j1Pakxe7ANtSWrcg.-oWvCk2KA41WwS3sYxCbox_0mTt_JodsN44rzGqlf0kg.JPEG/ZL100_cswebtoon66.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA4MjVfMjYz/MDAxNzg3NjQ5NjY1NTUz.ojNXced2b6zQAtg0UduhoKCT2LophmhwfuAyAhOHqD8g.6YtHFVBtoLdDB8CWK4cKLTiU4lftofgsjOBW5lFV4EEg.JPEG/ZL100_cswebtoon66-2.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/8105511
8080557,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] BLACHA - 열매는 소녀가 따옵니다,[웹툰] BLACHA - 열매는 소녀가 따옵니다,GM 이수연,15,2026-08-20T10:00:41+09:00,2026-08-20T10:00:41+09:00,691,7,15,0,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA4MjBfMTAw/MDAxNzg3MTg3NDc5MDc1.OXOa-LxSq51uKZJTQ9O1jVUHsIXGHYWBGzKPz5DfJ8Ug.jS16qn41djaiz0yVYfJoA7if4DQHr54fmf6d9nQCSQsg.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA4MjBfMTc0/MDAxNzg3MTg3NDU0OTg4.xyy8yqRxCk1AWvJ-9y8KNkHtHeqtoS9HpXRxG9Tu5a8g.nV_7px2Xq2BtWu9oG55KLYICDLhu371I05stHPWc6Nkg.JPEG/%EC%B9%B4%EC%9A%B4%ED%84%B0_%EC%82%AC%EC%9D%B4%EB%93%9C_4%EC%BB%B7_032%ED%99%94.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA4MjBfMjUz/MDAxNzg3MTg3NDU0OTU0.JLCVK9vO4DFffftDj3GUPELbx_fOSvzl1oKvI4NEjs8g.dG_CHjdZUy5OsOfe9-HwSBc7QFgVWkYDS35VxhrCw4Ig.JPEG/032_%EC%A7%9C%EB%9D%BC%EC%8B%9C.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/8080557
7867154,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] ZL100 - Life Begins As Gone,[웹툰] ZL100 - Life Begins As Gone,GM 이수연,15,2026-07-01T10:00:41+09:00,2026-07-01T10:00:41+09:00,3770,9,33,0,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA2MzBfMjIz/MDAxNzgyODExODc0MjE2.2ERojgAt5Tqy0L9i5iKE2BvJzrT01xCrcmUnouh6TPUg.b6wRY4eI4q70skJUXqKFb4rdqpZZ4TAKwLHG0H_kO10g.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA2MzBfMjQ1/MDAxNzgyODExODY4NTU1.lkuWTJ_TCy9av9im38J2j40AXkVNuTzNmmNSm1j48kog.oil58jPYpOIOdnvMK2Du0jc97TPXKh58s4HMRgYSYqQg.JPEG/ZL100_cswebtoon65_-_%EB%B3%B5%EC%82%AC%EB%B3%B8.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA2MzBfMTE4/MDAxNzgyODExODY4NTM3.lu7XPrCXuVfMKn0BGR259tshOJmavzADjpp1jrA75HUg.WIURX3tH5TVqrnsmGpM4emG1V_TGsjeHUKp7Ui1mnhgg.JPEG/ZL100_cswebtoon65-2_-_%EB%B3%B5%EC%82%AC%EB%B3%B8.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/7867154
7839373,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] BLACHA - 비,[웹툰] BLACHA - 비,GM 이수연,15,2026-06-24T10:00:35+09:00,2026-06-24T10:00:35+09:00,1228,3,17,1,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA2MjNfMiAg/MDAxNzgyMjA3ODA4NTc4.3xVh_avxYfskP7QeN6sqBoV-ujwYvEE0qwBEzdfmuukg.e9hQbMkUSwPAEZUX4FmQfOaVbHRxfqhiqG2g3rjDRmYg.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA2MjNfMjgy/MDAxNzgyMjA3NzY3MTI3.5aiXFnQ-eAc9X-ABb85-fcB8jR980YSUGhwOFp5ifc8g.k4H6XGnbwP-hzglfF7MXLBJC9O-cXrdJ3qq9Vnrv7REg.JPEG/%EC%B9%B4%EC%9A%B4%ED%84%B0_%EC%82%AC%EC%9D%B4%EB%93%9C_4%EC%BB%B7_031%ED%99%94.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA2MjNfMTAg/MDAxNzgyMjA3NzY3MTMx.N4gd2gHwPkbMCClbA83ng60bs4bP4jb1ePm7BSwd_LEg.74XjQ8gSTXdF61G_yXKzCJxPxMDDk922jeT-zD1LOtMg.JPEG/031_%EC%A7%9C%EB%9D%BC%EC%8B%9C.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/7839373
7811007,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] ZL100 - 프리덤 라이즈를 사랑했어?,[웹툰] ZL100 - 프리덤 라이즈를 사랑했어_,GM 이수연,15,2026-06-17T11:02:06+09:00,2026-06-17T11:02:06+09:00,1424,6,20,0,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA2MTdfMjYg/MDAxNzgxNjYxNjkxOTM3.pGE2DhUqz1_QaGaacCXekpn09yBOwbUd7hz1kWo-Z_0g.3T6-BrPfEkXtjnb3KiHw8cWWjX8w17jbYJ4TsT5cOaAg.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA2MTdfMTQx/MDAxNzgxNjYxNjg2NjAy.a_Dso2hHiH1ZLlN2I5fVlNSypiKnqKX_ig5p6sDJtBQg.m_WhlnIuSG_fMpQHT4cNbEpSxQ8wKRw11KVlef6-7nMg.JPEG/ZL100_cswebtoon64.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA2MTdfMTU5/MDAxNzgxNjYxNjg2NTU1.qqiTrr5g7K85FJ_aj0ocgkqBzPSI6pC0Vmoyr0WZhXYg.Eb827zR3aEd2i8IVZ8ogepOQv427OxXZW4z_1EIcED0g.JPEG/ZL100_cswebtoon64-2.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/7811007
7744690,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] ZL100 - 즐거운 인형놀이,[웹툰] ZL100 - 즐거운 인형놀이,GM 이수연,15,2026-06-03T10:00:32+09:00,2026-06-03T10:00:32+09:00,1240,4,17,0,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA2MDJfODcg/MDAxNzgwMzk0ODQ4MDM0.Q9bp4oqd9eLhUe7Eu-qQpsRxfxd67wMLwXoTk94Hsd4g.tz9F27dZDeRyzkQkjq5wj4QlcOO8-VWfnlcdzUfJXVIg.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA2MDJfNjEg/MDAxNzgwMzk0NjkxNjAy.EGrvJesFTiStRsWPHCDqttQnvBQvqLG5HWmMxktHuigg.ykSuMPFXXqpWtG1lC45MGfSaq4rwFtzLjJ7SapVMOCIg.PNG/ZL100_cswebtoon63.png?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA2MDJfNDEg/MDAxNzgwMzk0NjkxNDU3.I_JfNrdR6IGTHN4wLi95MY18qzz3ubpQfi-KRozfbEsg.aCZHz7tYWEW104pqua2ZOUZmP-rZdDi7w561RU2r1bMg.PNG/ZL100_cswebtoon63-2.png?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/7744690
7687790,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] BLACHA - 컹!,[웹툰] BLACHA - 컹!,GM 이수연,15,2026-05-20T11:00:41+09:00,2026-05-20T11:00:41+09:00,1484,4,18,1,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA1MjBfNzYg/MDAxNzc5MjQwOTc2ODgy.ysqb7Ruxv1q0qqO96mpfrqPsZz7gqJy6UQoP3oV4Mlgg.rXJSu0em0UVfvy20jsCRSPQBUy1i6Xqw3ve0Z7CpMgUg.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA1MjBfMTcy/MDAxNzc5MjQwOTYxNjQ4.itTXYoz0CJnQweC5HFqBTGa6alwHGUoyIJ3TyKAc590g.r8Dk1Q8yNIYiDRC_KZeMGdVsRQ8Y-hTZ3DUS0zaS5Dwg.JPEG/%EC%B9%B4%EC%9A%B4%ED%84%B0_%EC%82%AC%EC%9D%B4%EB%93%9C_4%EC%BB%B7_030%ED%99%94.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA1MjBfOTcg/MDAxNzc5MjQwOTYxNjMz.wzX60OnsSxAD6Moxvla3c9cAIZLr2kLPSk35Pnt5eCkg.uX8QrQu4_eIFHEH7UoCVxE5r2Defjpm0Y18YUT8pUyIg.JPEG/030_%EC%A7%9C%EB%9D%BC%EC%8B%9C.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/7687790
7565233,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] ZL100 - 데뷔! S급 메이드!,[웹툰] ZL100 - 데뷔! S급 메이드!,GM 이수연,15,2026-04-22T10:00:31+09:00,2026-04-22T10:00:31+09:00,1145,2,14,0,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA0MjFfMTM1/MDAxNzc2NzU5Mzg3NDkx.zgn9vLVqiZZr9sqyCnHP4Ldm-ruHl9wELuAtdOW0nIUg.xP364FO113OsXgW2gJu_GwVancNLtr0-91h1FyBobr8g.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA0MjFfMTM3/MDAxNzc2NzU5MzM0MTMw.Rso__b7ws_Q8YwiZFHk9bCEU1cYBbsiz5xmT3T3756Ug.OeCg9i1tlJEBQwXJ6iKm-n2gdDHcKkMLsZVZVG9G-3Qg.JPEG/ZL100_cswebtoon62.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA0MjFfMTMy/MDAxNzc2NzU5MzM0MTAx._a5bBM9iX4ghqrNWuvaTCukaL2LmYdRXLCW1h77x-TAg.p637kiIqLir5TWLixnzbwyZdYSnYEuGb5IztY6gk9Ogg.JPEG/ZL100_cswebtoon62-2.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/7565233
7538869,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] ZL100 - 아이들에게 인기만점,[웹툰] ZL100 - 아이들에게 인기만점,GM 이수연,15,2026-04-15T10:00:31+09:00,2026-04-15T10:00:31+09:00,902,1,15,1,False,json,,"https://nng-phinf.pstatic.net/MjAyNjA0MTRfMTEy/MDAxNzc2MTU3ODk5OTYy.Awdaa384Kny8P0taRpS0z3va2RGSxbhDwF8rDSsHCnYg.UqAVyYyHT3i2cLOXlUZXCpzyOtRSO1dlZUnOHHGkIqMg.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA0MTRfMjI5/MDAxNzc2MTU3ODgwODM2.xhhwv0CF5WnUxxTyZ5pjOtL3UyQldsjmzGwC0Yc1Yjgg.O1EPsKkat5Zr0lHdZYm4xpvo3pWl38CP6oKt_jzae7cg.JPEG/ZL100_cswebtoon61.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjA0MTRfMTY2/MDAxNzc2MTU3ODgwODE1.pMJSgfTyDOL_8b_81i3MYI3kkywhZPYDG2p9GG4SVnYg.47ZPf0yZV3GzsQq1Q-JniXeZjqPH4rwFH-VYrZrt_esg.JPEG/ZL100_cswebtoon61-2.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/7538869
7490118,COUNTERSIDE,카운터사이드,24,공식 웹툰,[웹툰] BLACHA - 예식,[웹툰] BLACHA - 예식,GM 이수연,15,2026-04-01T10:00:31+09:00,2026-04-01T10:00:31+09:00,1041,3,16,0,False,json,,"https://nng-phinf.pstatic.net/MjAyNjAzMzFfMzAw/MDAxNzc0OTQzOTUwMDk1.VoPHWgNht-7yQyqSo7e-LRDFAD31AncmNwKabnRcElAg.5FhNPvMXdvfiS_ChwCFZw7uwVKJkdLMifcYivCwUm_sg.JPEG/%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%9D%BC%EC%9A%B4%EC%A7%80%EC%8D%B8%EB%84%A4%EC%9D%BC_%EA%B3%B5%EC%8B%9D%EC%9B%B9%ED%88%B0_960x540.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjAzMzFfMTcz/MDAxNzc0OTQzOTQwNzAx.gntXCVasR22WJtIYiu_WXpkgYzGKkqi_rnGg0SgHBMkg.0plKbZP_aEZ5FLLq5Bry5cDv9pUHk-jZIpUpuWqJpVIg.JPEG/%EC%B9%B4%EC%9A%B4%ED%84%B0_%EC%82%AC%EC%9D%B4%EB%93%9C_4%EC%BB%B7_029%ED%99%94.jpg?type=w1678
https://nng-phinf.pstatic.net/MjAyNjAzMzFfMjcz/MDAxNzc0OTQzOTQwNjg1.tDreTENCkmT_3fAZ8_5-lQoPUUekLQcp3Q8EEQ7Dus8g.upMqnGzdbrLsIFdUKLE0rSQiAuwgJHsRtzeooRngpsgg.JPEG/029_%EC%A7%9C%EB%9D%BC%EC%8B%9C.jpg?type=w1678",,https://game.naver.com/lounge/COUNTERSIDE/board/detail/7490118
